cohort,label,cardName,offeredGames,keptGames,notKeptGames,keepRate,avgEloGainOffered,avgEloGainKept,avgEloGainNotKept,stddevEloGainOffered,stddevEloGainKept,stddevEloGainNotKept,avgEloDeltaOffered,avgEloDeltaKept,avgEloDeltaNotKept
tfmstats_reference,TFMStats reference,Giant Ice Asteroid,17297,15729,1568,90.93484419263456,0.880383881597965,1.0172293216351962,-0.4923469387755102,8.10104546882463,8.207221820354894,6.798208600857228,0.730187300424259,0.8670327404614901,-0.6425435199492162
tfmstats_reference,TFMStats reference,Giant Space Mirror,17671,11585,6086,65.55939109275083,0.2685756323920548,0.23521795425118688,0.33207361156753207,8.053834639968763,7.883595190301155,8.36862198284189,0.11837905121834877,0.08502137307748087,0.18187703039382605
tfmstats_reference,TFMStats reference,Grass,17218,10086,7132,58.57823208270415,-0.02665814844929725,-0.004263335316279992,-0.05832865956253505,8.063294236246344,8.114798644013213,7.9903508566379795,-0.17685472962300328,-0.154459916489986,-0.20852524073624107
tfmstats_reference,TFMStats reference,Great Dam,17478,4152,13326,23.755578441469275,-0.17244535988099324,-0.821290944123314,0.029716343989194056,8.09483558833821,7.6059828528549325,8.231054691709911,-0.32264194105469923,-0.9714875252970201,-0.12048023718451197
tfmstats_reference,TFMStats reference,Great Escarpment Consortium,17329,12021,5308,69.36926539327139,0.3774597495527728,0.5054487979369436,0.08760361718161266,8.140268294129044,8.044287217062402,8.347076637726687,0.22726316837906677,0.3552522167632376,-0.06259296399209335
tfmstats_reference,TFMStats reference,Greenhouses,17058,10970,6088,64.3100011724704,-0.0019345761519521632,0.0016408386508659982,-0.008377135348226018,8.099099433219951,8.16365545265189,7.982119956225932,-0.15213115732565818,-0.14855574252284,-0.15857371652193203
tfmstats_reference,TFMStats reference,Hackers,17413,9248,8165,53.109745592373514,0.515132372365474,0.8863538062283737,0.09467238211879976,7.982519030647804,8.164865752184781,7.7498701467572975,0.364935791191768,0.7361572250546676,-0.055524199054906256
tfmstats_reference,TFMStats reference,Heat Trappers,16907,10664,6243,63.07446619743302,0.15886910747027858,0.3411477869467367,-0.15249078968444657,8.191533622652878,8.53720613664842,7.555125074674778,0.008672526296572558,0.19095120577303068,-0.30268737085815256
tfmstats_reference,TFMStats reference,Heather,17426,9797,7629,56.22058992310341,-0.12372317227131872,-0.25834439114014496,0.04915454187966968,8.090362166853302,8.133300988402471,8.032107885562581,-0.2739197534450247,-0.408540972313851,-0.10104203929403634
tfmstats_reference,TFMStats reference,Herbivores,17180,8766,8414,51.0244470314319,-0.0880093131548312,0.04198037873602555,-0.2234371285951985,8.053473022664761,8.32922504625427,7.753941634029093,-0.23820589432853723,-0.10821620243768046,-0.37363370976890453
tfmstats_reference,TFMStats reference,Hired Raiders,17524,15114,2410,86.24743209312942,0.16343300616297649,0.271007013365092,-0.5112033195020746,8.05569668935284,8.216548894014739,6.926231639806596,0.013236424989270468,0.12081043219138596,-0.6613999006757807
tfmstats_reference,TFMStats reference,House Printing,16071,11193,4878,69.64719059174911,-0.03409868707609981,-0.1658179219154829,0.26814268142681424,7.948282245921224,7.774568162202431,8.32615427812209,-0.18429526824980583,-0.3160145030891889,0.11794610025310823
tfmstats_reference,TFMStats reference,Ice Asteroid,17492,15597,1895,89.16647610336153,0.33323805168076837,0.37577739308841446,-0.016886543535620052,8.04516919158907,8.140038782843467,7.209545020575119,0.18304147050706235,0.22558081191470844,-0.16708312470932607
tfmstats_reference,TFMStats reference,Ice cap Melting,17257,1011,16246,5.8584922060613085,-0.14967839137741207,-0.04747774480712166,-0.15603840945463499,8.10493584022823,8.782166959425053,8.061159886481729,-0.29987497255111806,-0.19767432598082768,-0.30623499062834103
tfmstats_reference,TFMStats reference,Immigrant City,17458,13256,4202,75.93080536143889,-0.6249856799175163,-0.9858177429088715,0.5133269871489767,8.036099529210443,7.870957237924895,8.436578208368458,-0.7751822610912223,-1.1360143240825775,0.3631304059752707
tfmstats_reference,TFMStats reference,Immigration Shuttles,17658,9126,8532,51.681957186544345,0.06376713104541851,-0.11746657900504054,0.2576183778715424,8.158404419877883,7.8285608175593415,8.493233081845938,-0.08642945012828751,-0.2676631601787466,0.10742179669783639
tfmstats_reference,TFMStats reference,Import of Advanced GHG,17230,11690,5540,67.84677887405688,-0.07852582704585026,-0.16852010265183917,0.11137184115523466,7.961457281937891,7.963944841283445,7.953583111186733,-0.22872240821955628,-0.3187166838255452,-0.03882474001847136
tfmstats_reference,TFMStats reference,Imported GHG,17313,11289,6024,65.20533702997747,0.020793623288858084,-0.16777393923288156,0.3741699867197875,8.0341178181532,7.9531552613308065,8.172641385581684,-0.12940295788484793,-0.3179705204065876,0.2239734055460815
tfmstats_reference,TFMStats reference,Imported Hydrogen,17445,15271,2174,87.53797649756378,0.10897105187732875,0.22061423613384848,-0.6752529898804048,8.002815107592989,8.16034363818615,6.743841376213317,-0.04122552929637727,0.07041765496014246,-0.8254495710541109
tfmstats_reference,TFMStats reference,Imported Nitrogen,17360,11836,5524,68.17972350230414,-0.09349078341013825,0.04258195336262251,-0.38504706734250543,8.108918040423658,8.265322158005917,7.755894709826309,-0.24368736458384427,-0.10761462781108351,-0.5352436485162114
tfmstats_reference,TFMStats reference,Indentured Workers,17198,12719,4479,73.95627398534714,0.10262821258285847,0.4503498702728202,-0.8847957133288681,8.029984879276634,8.367945921493794,6.887446986444599,-0.04756836859084755,0.3001532890991142,-1.034992294502574
tfmstats_reference,TFMStats reference,Industrial Center,17253,13008,4245,75.39558337680404,0.05245464556888657,-0.01845018450184502,0.2697290930506478,8.2734449609867,8.240426797754964,8.371051057252233,-0.09774193560481945,-0.16864676567555104,0.11953251187694178
tfmstats_reference,TFMStats reference,Industrial Microbes,17337,15552,1785,89.70410105554595,0.4935686681663494,0.4616769547325103,0.7714285714285715,8.097936567786233,7.996901365473022,8.92760942927707,0.34337208699264343,0.3114803735588043,0.6212319902548654
