map,card,map_elo_delta,other_maps_elo_delta,difference,approx_standard_error,approx_z_score,map_offers,other_maps_offers
Tharsis,Giant Space Mirror,0.13716310474851426,0.24275297075424135,-0.10558986600572709,0.17896070885493653,-0.5900170304494994,4671,4462
Tharsis,Grass,-0.26725178492070695,-0.10546252660658298,-0.16178925831412397,0.18024198821035256,-0.897622468108301,4647,4317
Tharsis,Great Dam,-0.4979410938879233,-0.5993472696410722,0.10140617575314892,0.18197795456732557,0.5572442881570697,4539,4361
Tharsis,Great Escarpment Consortium,0.17540191405291794,0.33597071128492334,-0.1605687972320054,0.18211169658351328,-0.8817050208434652,4600,4292
Tharsis,Greenhouses,-0.33281828542418096,-0.014553143149730188,-0.3182651422744508,0.18496891132848114,-1.72064126878734,4490,4175
Tharsis,Hackers,0.39627460993277636,0.3260847477351667,0.07018986219760964,0.18112486509830986,0.38752195707371495,4583,4320
Tharsis,Heat Trappers,0.07565291150684972,-0.09514411340897388,0.1707970249158236,0.18719709396190515,0.9123914335474728,4457,4205
Tharsis,Heather,-0.31819030858994685,-0.4447702418698229,0.12657993327987604,0.18325309211964644,0.6907383216062278,4479,4329
Tharsis,Herbivores,-0.3965282001704501,-0.27089456182130334,-0.12563363834914676,0.18293924167961176,-0.6867506238446838,4503,4374
Tharsis,Hired Raiders,-0.12644312988583642,-0.17864060731913572,0.052197477433299305,0.17958550863605655,0.2906552863298196,4532,4389
Tharsis,House Printing,-0.2037532486254831,-0.19895060697966024,-0.004802641645822864,0.18370803954334275,-0.026142795153446526,4466,4282
Tharsis,Ice Asteroid,0.5009566709359513,-0.044498381349800636,0.545455052285752,0.17960579949858757,3.036956789861574,4597,4352
Tharsis,Ice cap Melting,-0.4083444009350753,-0.30577963134980063,-0.10256476958527466,0.18636411851476078,-0.5503461202868358,4454,4250
Tharsis,Immigrant City,-0.9097923153164157,-0.7952216223421482,-0.11457069297426747,0.1813131578086896,-0.6318939803318376,4599,4297
Tharsis,Immigration Shuttles,-0.08034739018432335,-0.08285724478743196,0.0025098546031086105,0.18233966864752257,0.013764720654178459,4718,4339
Tharsis,Import of Advanced GHG,-0.23670918870020377,-0.32019449203091516,0.08348530333071139,0.18166241898350166,0.4595628738065709,4624,4275
Tharsis,Imported GHG,-0.14980379421886222,-0.12180672938012589,-0.027997064838736332,0.1811363783154739,-0.1545634570984719,4503,4411
Tharsis,Imported Hydrogen,-0.09922434424650378,-0.03325472366311134,-0.06596962058339245,0.18051056665297496,-0.36546126803876616,4669,4349
Tharsis,Imported Nitrogen,-0.3746178186074811,-0.3563855477047819,-0.018232270902699188,0.1822697944428723,-0.10002903091227008,4583,4325
Tharsis,Indentured Workers,-0.30048782934158447,0.04822607009200629,-0.34871389943359077,0.18398691778618478,-1.8953189913145825,4568,4292
Tharsis,Industrial Center,-0.1619260907842984,-0.20973972863328305,0.04781363784898465,0.1834780379081617,0.26059597319717004,4602,4281
Tharsis,Industrial Microbes,0.5725590162684988,0.21127465703221884,0.36128435923628,0.18189846686261363,1.9861869397126641,4539,4410
Tharsis,Insects,-0.12021352300207372,-0.09075781915511012,-0.029455703846963596,0.18127411228940926,-0.16249261118949368,4592,4323
Tharsis,Insulation,-0.39478112204640076,-0.4013927080743718,0.006611586027971017,0.18473585570212317,0.03578940321488997,4537,4331
Tharsis,Interstellar Colony Ship,-0.5661592804388041,-0.30096701994160097,-0.2651922604972032,0.18478881372985223,-1.4351099243750487,4496,4224
Tharsis,Invention Contest,0.2906516797644449,0.11410958566672104,0.17654209409772387,0.18204426950480687,0.9697756187434523,4593,4422
Tharsis,Inventors' Guild,0.5747094964209035,0.5545684483779583,0.020141048042945253,0.18295819874470595,0.11008551779114,4624,4235
Tharsis,Investment Loan,-0.12076550455106494,-0.05787753458876613,-0.06288796996229881,0.1826900740323654,-0.34423309692872295,4539,4326
Tharsis,Io Mining Industries,0.3279323469078715,0.678117974592238,-0.3501856276843665,0.18281127861702362,-1.9155581118054539,4511,4435
Tharsis,Ironworks,-0.3665248957812906,-0.35212848606536146,-0.014396409715929148,0.18224875992566505,-0.07899318339285877,4529,4376
Tharsis,Kelp Farming,0.8596887015447012,0.7972460353755586,0.062442666169142624,0.18083095484174233,0.3453096082127671,4630,4343
Tharsis,Lagrange Observatory,-0.21446683795646232,-0.10690120358661068,-0.10756563436985164,0.18300798047255323,-0.5877647198340833,4598,4346
Tharsis,Lake Marineris,-0.47440597048740446,-0.3272807346273422,-0.14712523586006226,0.18056773845739735,-0.8147924824055688,4567,4372
Tharsis,Land Claim,-0.1524617231771299,-0.36424425820926465,0.21178253503213476,0.18328032669628092,1.1555115535290685,4562,4243
Tharsis,Large Convoy,0.00667124899690676,0.2655005397137626,-0.25882929071685584,0.1824958830278002,-1.4182746833660216,4607,4319
Tharsis,Lava Flows,0.19456021951557123,0.1957861962464887,-0.0012259767309174552,0.17942539663138046,-0.006832793762391154,4680,4426
Tharsis,Lava Tube Settlement,-0.4728057089225015,-0.5558133353443991,0.08300762642189763,0.18393797840156215,0.4512805193535424,4491,4269
Tharsis,Lichen,-0.47400210051733704,-0.13144607750136203,-0.342556023015975,0.1839530814689306,-1.8621923605766406,4488,4357
Tharsis,Lightning Harvest,-0.2845977998431501,-0.23576153390835722,-0.04883626593479287,0.18262688653076226,-0.26741005589320355,4559,4297
Tharsis,Livestock,-0.4652766434538087,-0.4415005304846307,-0.023776112969177976,0.18414440797503667,-0.12911667115300704,4573,4399
